printer,c_bluetooth,c_ethernet,c_usb,c_walk_up,c_wifi,duty_cycle_max,duty_cycle_normal,f_copy,f_fax,f_print,f_scan,mfg_model_number,mfg_model_name,o_adf_capacity,o_borderless,o_duplex,o_duplex_scan,o_staple,o_touchscreen,papersize_max,papersize_supported,ppm_color,ppm_mono,print_technology,available
974,,,,,,,,,,,,G1W40A,HP PageWide Enterprise Color MFP 586f,,,,,,,,,,,,True
974,,,,,,,,,,,,G1W41A,HP PageWide Enterprise Color Flow MFP 586z,,,,,,,,,,,,True
975,,,,,,,,,,,,J7Z04A,HP PageWide Enterprise Color 765dn,,,,,,,,,,,,True
977,,,,,,,,,,,,Y3Z55A,HP PageWide Pro MFP 777z,,,,,,,,,,,,True
978,,,,,,,,,,,,4PZ45A,HP PageWide Pro MFP 779dn,,,,,,,,,,,,True
978,,,,,,,,,,,,4PZ46A,HP PageWide Pro MFP 779dns,,,,,,,,,,,,True
979,,,,,,,,,,,,J7Z09A,HP PageWide Enterprise Color MFP 780dn,,,,,,,,,,,,True
979,,,,,,,,,,,,J7Z10A,HP PageWide Enterprise Color MFP 780dns,,,,,,,,,,,,True
980,,,,,,,,,,,,J7Z11A,HP PageWide Enterprise Color Flow MFP 785f,,,,,,,,,,,,True
980,,,,,,,,,,,,J7Z12A,HP PageWide Enterprise Color Flow MFP 785zs,,,,,,,,,,,,True
984,,,,,,,,,,,,W1B33A,HP PageWide Managed MFP P77740dw,,,,,,,,,,,,True
826,,,,,,,,,,,,3GY14A,HP LaserJet Managed MFP E62655dn,,,,,,,,,,,,True
827,,,,,,,,,,,,3GY16A,HP LaserJet Managed Flow MFP E62665h,,,,,,,,,,,,True
827,,,,,,,,,,,,3GY17A,HP LaserJet Managed Flow MFP E62665z,,,,,,,,,,,,True
828,,,,,,,,,,,,L3U55A,HP Color LaserJet Managed E65050dn,,,,,,,,,,,,True
829,,,,,,,,,,,,L3U56A,HP Color LaserJet Managed E65060dn,,,,,,,,,,,,True
831,,,,,,,,,,,,L3U66A,HP Color LaserJet Managed MFP E67550dh,,,,,,,,,,,,True
832,,,,,,,,,,,,L3U70A,HP Color LaserJet Managed MFP E67560z,,,,,,,,,,,,True
1042,,,,,,,,,,,,B7025/HM2,Xerox VersaLink B7025 - Tandem Try & (2) 520 Sheet Trays,,,,,,,,,,,,True
1043,,,,,,,,,,,,B7030/DM2,Xerox VersaLink B7030 - Desktop Version,,,,,,,,,,,,True
703,,,,,,,,,,,,Z8Z07A,HP LaserJet MFP E72525z,,,,,,,,,,,,True
704,,,,,,,,,,,,Z8Z08A,HP LaserJet MFP E72530dn,,,,,,,,,,,,True
704,,,,,,,,,,,,Z8Z09A,HP LaserJet MFP E72530z,,,,,,,,,,,,True
